ship_to_code,child_sku_code,gsv
50200803,20062044,0.025
50200803,20066609,0.083
50200803,20066610,0.017
50200803,20066612,0.021
50200803,20077806,0
50200803,20077807,0.015
50200803,20077810,0.033
50200803,20077811,0
50200803,20077812,0
50200803,20077813,0
50200803,20077814,0.042
50200803,20081774,0.905
50200803,20086769,0.766
50200803,20086770,0
50200803,20087940,0.003
50200803,20088413,0.162
50200803,20088438,0
50200803,20088440,0
50200803,20088635,0
50200803,20088970,0
50200803,20094074,0.016
50200803,20094079,0.167
50200803,20095108,0
50200803,20100128,0
50200803,20100130,0
50200803,20205116,0.08
50200803,20211354,0
50200803,20211355,0
50200803,20211359,0
50200803,20211364,0
50200803,20211370,0
50200803,20211389,0
50200803,20211391,0
50200803,20223465,0
50200803,20224880,0.105
50200803,20224883,0.067
50200803,20224886,0
50200803,20224896,0
50200803,20224900,0
50200803,20226137,0.019
50200803,20226139,0.163
50200803,20226140,0.456
50200803,20226474,0
50200803,20226476,0
50200803,20226477,0
50200803,20227912,0
50200803,20228066,0.131
50200803,20228246,1.104
50200803,20228247,0.664
50200803,20228248,0.568
50200803,20228249,0.525
50200803,20228253,0.193
50200803,20228255,0.039
50200803,20228256,0.618
50200803,20228257,0.46
50200803,20228578,0
50200803,20229762,0.083
50200803,20229781,0.033
50200803,20229784,0
50200803,20229789,0
50200803,20229790,0
50200803,20229792,0.09
50200803,20229807,0.115
50200803,20230438,0.973
50200803,20234478,0
50200803,20236585,0.185
50200803,20236586,0.057
50200803,20239738,0
50200803,20239739,3.162
50200803,20239740,0
50200803,20239741,0
50200803,20240484,0.075
50200803,20241701,0.247
50200803,20245710,0
50200803,20248031,0.056
50200803,20248033,0.001
50200803,20248034,0.114
50200803,20248036,0
50200803,20249673,0.017
50200803,20250394,0
50200803,20250408,0
50200803,20253706,0
50200803,20253707,0.004
50200803,20254000,0
50200803,20254003,0.083
50200803,20254004,0.097
50200803,20254006,0
50200803,20254008,0.083
50200803,20255426,0.042
50200803,20257714,0
50200803,20261111,0.1
50200803,20261112,0.045
50200803,20265588,0
50200803,20266523,0.333
50200803,20266525,0
50200803,20266527,0
50200803,20266528,0
50200803,20266933,0.042
50200803,20266938,0
50200803,20267072,0
50200803,20267422,0.06
50200803,20267426,0
50200803,20269318,0.026
50200803,20269498,0
50200803,20269560,0.083
50200803,20269561,0.029
50200803,20269588,0.073
50200803,20270154,0.102
50200803,20270159,0.109
50200803,20270160,0.085
50200803,20270164,0.054
50200803,20270171,0.221
50200803,20270172,0.088
50200803,20270174,0.08
50200803,20270187,0.071
50200803,20270194,0.051
50200803,20270195,0
50200803,20270198,0
50200803,20270199,0.045
50200803,20270207,0.021
50200803,20270209,0.06
50200803,20270210,0.04
50200803,20270242,0.056
50200803,20270243,0.046
50200803,20270550,0
50200803,20271012,0.083
