area_code,customer_code,child_sku_code,gsv
E42570,E50857,20065734,-126.33
E42570,E50857,20065735,-123.64
E42570,E50857,20070841,-108.70
E42570,E50857,20070842,-44.13
E42570,E50857,20071069,-123.89
E42570,E50857,20071076,-35.72
E42570,E50857,20088420,-647.56
E42570,E50857,20091933,-6.53
E42570,E50857,20094079,1344.51
E42570,E50857,20094738,-106.51
E42570,E50857,20094740,-197.57
E42570,E50857,20094744,-312.70
E42570,E50857,20100107,-0.42
E42570,E50857,20100109,-0.17
E42570,E50857,20102800,-3.17
E42570,E50857,20102802,-1.21
E42570,E50857,20103992,-0.04
E42570,E50857,20209224,-9.61
E42570,E50857,20209228,-21.15
E42570,E50857,20209476,-19.69
E42570,E50857,20210926,-8.32
E42570,E50857,20226140,18863.57
E42570,E50857,20228246,6736.85
E42570,E50857,20228248,968.10
E42570,E50857,20228249,4391.97
E42570,E50857,20228256,2534.33
E42570,E50857,20228257,6242.00
E42570,E50857,20229792,26.00
E42570,E50857,20234480,-12.21
E42570,E50857,20237416,-1.71
E42570,E50857,20248034,853.94
E42570,E50857,20269563,-0.13
E42570,E50857,20270172,798.08
E42570,E50857,20270174,783.09
E42570,E50857,20272347,1429.21
E42570,E50857,20275027,-13.24
E42570,E50857,20275028,7.43
E42570,E50857,20275030,-0.08
E42570,E50857,20275031,-0.13
E42570,E50857,20275568,-0.38
E42570,E50857,20275631,-0.14
E42570,E50857,20277213,-1.56
E42570,E50857,20277219,653.58
E42570,E50857,20277449,465.00
E42570,E50857,20277836,17120.00
E42570,E50857,20277838,4160.38
E42570,E50857,20278034,2206.42
E42570,E50857,20278792,-4.59
E42570,E50857,20284476,-0.67
E42570,E50857,20284821,-0.29
E42570,E50857,20284832,26245.88
E42570,E50857,20284833,11160.37
E42570,E50857,20288006,119.76
E42570,E50857,20292808,202.80
E42570,E50857,20292810,229.82
E42570,E50857,20292814,194.67
E42570,E50857,20292816,259.02
E42570,E50857,20293277,828.41
E42570,E50857,20293278,984.21
E42570,E50857,20293279,703.92
E42570,E50857,20293280,577.50
E42570,E50857,20294814,286.00
E42570,E50857,20302747,-3.42
E42570,E50857,20302757,-6.60
E42570,E50857,20302759,-1.55
E42570,E50857,20303257,-1.58
E42570,E50857,20304736,59250.51
E42570,E50857,20304739,23614.53
E42570,E50857,21000763,145861.77
E42570,E50857,21000765,10303.66
E42570,E50857,21000767,89159.34
E42570,E50857,21000769,4538.16
E42570,E50857,21000771,46299.28
E42570,E50857,21000773,3438.58
E42570,E50857,21001515,855.85
E42570,E50857,21002844,9843.71
E42570,E50857,21003157,-0.04
E42570,E50857,21004827,-0.04
E42570,E50857,21008977,101376.64
E42570,E50857,21008979,6271.48
E42570,E50857,21009048,2281.95
E42570,E50857,21010304,338.84
E42570,E50857,21012580,3026.00
E42570,E50857,21013983,3209.83
E42570,E50857,21013984,1243.00
E42570,E50857,21013987,484.75
E42570,E50857,21013989,788.04
E42570,E50857,21015583,-4.00
E42570,E50857,21015691,1386.41
E42570,E50857,21018169,-1.33
E42570,E50857,21018170,-2.75
E42570,E50857,21018171,-1.33
E42570,E50857,21018172,74.58
E42570,E50857,21018836,1352.93
E42570,E50857,21019429,-0.17
E42570,E50857,21019617,1057.91
E42570,E50857,21021063,648.00
E42570,E50857,21021066,1990.00
E42570,E50857,21024222,486.94
E42570,E50857,21025554,3382.78
E42570,E50857,21025556,516.46
E42570,E50857,21026412,354.00
E42570,E50857,21026587,-3.79
E42570,E50857,21029749,2996.01
E42570,E50857,21029753,6057.27
E42570,E50857,21029754,3903.32
E42570,E50857,21029755,2573.31
E42570,E50857,21029819,-0.02
E42570,E50857,21030914,-0.33
E42570,E50857,21030915,1722.00
E42570,E50857,21031404,19252.32
E42570,E50857,21031405,11374.72
E42570,E50857,21031406,14394.20
