ship_to_code,child_sku_code,gsv
15109589,21013983,0.077
15109589,21013984,0.052
15109589,21013985,0.094
15109589,21013986,0.139
15109589,21013987,0.005
15109589,21013988,0.052
15109589,21013989,0.005
15109589,21015691,0.734
15109589,21015692,0.692
15109589,21017750,0.070
15109589,21017751,0.134
15109589,21018376,0.104
15109589,21018836,0.107
15109589,21018909,0.797
15109589,21018911,0.402
15109589,21018912,0.372
15109589,21019554,0.066
15109589,21019587,0.242
15109589,21019617,0.214
15109589,21021063,1.005
15109589,21021066,0.895
15109589,21021067,0.305
15109589,21021068,0.497
15109589,21021072,0.764
15109589,21021073,0.619
15109589,21021076,0.356
15109589,21021077,0.325
15109589,21021919,0.000
15109589,21024222,0.154
15109589,21024702,0.184
15109589,21025372,0.305
15109589,21025373,0.199
15109589,21025550,4.418
15109589,21025551,0.391
15109589,21025552,0.754
15109589,21025553,0.280
15109589,21026412,1.448
15109589,21027340,0.000
15109589,21029743,5.434
15109589,21029744,0.338
15109589,21029745,0.483
15109589,21029747,0.070
15109589,21029749,1.882
15109589,21029753,2.756
15109589,21029754,2.072
15109589,21029755,1.276
15109589,21030914,2.676
15109589,21030915,1.117
15109589,21031404,4.319
15109589,21031405,4.111
15109589,21031408,0.099
15109589,21031409,1.045
15109589,21031410,0.355
15109589,21036329,0.106
15109589,21036487,0.379
15109589,21038554,0.021
15109589,21038555,0.047
15109589,21038556,0.000
15109589,21038557,0.040
15109589,21038639,0.086
15109589,21039096,0.925
15109589,21039097,1.182
15109589,21039098,0.000
15109589,21039112,0.010
15109589,21039793,0.039
15109589,21040742,0.764
15109589,21050313,2.794
15109589,21050314,0.560
15109589,21050315,0.533
15109589,21051019,0.068
15109589,21051942,40.781
15109589,21051943,23.973
15109589,21051973,1.314
15109589,21051975,2.287
15109589,21051977,1.958
15109589,21051978,0.833
15109589,21051979,2.733
15109589,21051980,3.356
15109589,21051984,0.718
15109589,21051985,2.189
15109589,21051986,1.167
15109589,21051987,3.313
15109589,21051988,3.083
15109589,21051992,0.756
15109589,21052484,0.000
15109589,21052485,0.500
15109589,21053665,9.052
15109589,21054828,0.171
15109589,21054830,0.042
15109589,21056565,0.083
15109589,21056567,0.083
15109589,21057657,0.165
15109589,21058471,0.524
15109589,21059664,0.581
15109589,21061779,1.199
15109589,21061907,0.118
15109589,21061908,0.187
15109589,21063280,0.333
15109589,21063281,0.436
15109589,21063284,4.049
15109589,21063287,2.128
15109589,21064622,0.145
15109589,21064623,0.111
15109589,21064624,0.164
15109589,21066191,2.914
15109589,21066192,0.233
15109589,21066194,0.509
15109589,21066581,0.245
15109589,21066582,0.695
15109589,21066583,0.578
15109589,21066584,0.054
15109589,21066585,0.143
15109589,21067671,300.542
15109589,21067859,0.000
15109589,21067860,0.257
15109589,21067861,0.000
15109589,21067915,0.000
15109589,21067916,0.000
15109589,21067917,0.000
15109589,21069275,0.159
15109589,21069495,0.067
15109589,21071194,0.368
15109589,21071196,0.306
15109589,21073123,0.123
15109589,21075082,0.617
15109589,21075083,0.619
15109589,21077527,0.387
15109589,21077528,0.099
15109589,21078366,0.000
15109589,21079784,0.142
15109589,21080267,0.145
15109589,21080744,0.326
15109589,21082360,0.934
15109589,21082361,0.132
15109589,21082430,0.041
15109589,21082432,0.352
15109589,21082433,0.272
15109589,21082434,0.467
15109589,21082436,0.133
15109589,21082437,2.289
15109589,21082568,0.167
15109589,21085250,0.014
15109589,21086713,4.457
15109589,21086714,8.412
15109589,21086715,2.012
15109589,21086717,33.455
15109589,21086718,3.765
15109589,21089517,0.109
15109589,21089518,0.183
15109589,21089519,0.164
15109589,21089520,0.186
