area_code,customer_code,child_sku_code,gsv,,,,,,,,,,
E41590,E50866,20228246,2177374.63,,,,,,,,,,
E41590,E50866,20228256,829227.51,,,,,,,,,,
E41590,E50866,20284832,81925.56,,,,,,,,,,
E41590,E50866,20284833,83442.7,,,,,,,,,,
E41590,E50866,65021258,-35.82,,,,,,,,,,
E41590,E50866,20091933,-87.66,,,,,,,,,,
E41590,E50866,20226140,11147370.08,,,,,,,,,,
E41590,E50866,20228257,3100106.27,,,,,,,,,,
E41590,E50866,65021257,-43.83,,,,,,,,,,
E41590,E50866,65021259,-43.83,,,,,,,,,,
E41590,E50866,20102800,-71.06,,,,,,,,,,
E41590,E50866,20102802,-140.42,,,,,,,,,,
E41590,E50866,21013982,1566526.48,,,,,,,,,,
E41590,E50866,21013983,3124595.71,,,,,,,,,,
E41590,E50866,21013987,1377117.06,,,,,,,,,,
E41590,E50866,21013989,786682.35,,,,,,,,,,
E41590,E50866,65025201,-435.65,,,,,,,,,,
E41590,E52587,20304736,-109.38,,,,,,,,,,
E41590,E52587,65004321,-202.81,,,,,,,,,,
E41590,E52587,65004320,-135.79,,,,,,,,,,
E41590,E52587,65002912,-15.48,,,,,,,,,,
E41590,E52587,21039098,-256.89,,,,,,,,,,
E41590,E52587,65002840,-1189.24,,,,,,,,,,
E41590,E52587,65002841,-1061.67,,,,,,,,,,
E41590,E52587,65002849,251967.69,,,,,,,,,,
E41590,E52587,21025554,-98.69,,,,,,,,,,
E41590,E52587,65002854,-308.57,,,,,,,,,,
E41590,E52587,65002856,-554.49,,,,,,,,,,
E41590,E52587,65002857,-1353.11,,,,,,,,,,
E41590,E52587,21025556,154607.46,,,,,,,,,,
E41590,E52587,21141195,2089.29,,,,,,,,,,
E41590,E52587,21141222,2089.29,,,,,,,,,,
E41590,E52587,21141274,2089.29,,,,,,,,,,
E41590,E52587,65002864,219375.45,,,,,,,,,,
E41590,E52587,65002865,254805.63,,,,,,,,,,
E41590,E52587,21008979,344262.97,,,,,,,,,,
E41590,E52587,21009048,154827.34,,,,,,,,,,
E41590,E52587,65002377,-296.28,,,,,,,,,,
E41590,E52587,65024682,-1543.13,,,,,,,,,,
E41590,E52587,21008977,-2698.74,,,,,,,,,,
E41590,E52587,21030915,76000.59,,,,,,,,,,
E41590,E52587,65028821,-186.12,,,,,,,,,,
E41590,E52587,65024944,-427.68,,,,,,,,,,
E41590,E52587,65002017,-195.94,,,,,,,,,,
E41590,E52587,65003263,92812.5,,,,,,,,,,
E41590,E52587,65024943,-243.26,,,,,,,,,,
E41590,E52587,21045983,178467.06,,,,,,,,,,
E41590,E52587,65003271,33283.08,,,,,,,,,,
E41590,E52587,21029749,-70.2,,,,,,,,,,
E41590,E52587,21029753,-70.2,,,,,,,,,,
E41590,E52587,21000763,-2462.09,,,,,,,,,,
E41590,E52587,21000765,595177.22,,,,,,,,,,
E41590,E52587,21000769,378399.77,,,,,,,,,,
E41590,E52587,21000773,295664.24,,,,,,,,,,
E41590,E52587,21148865,56571.3,,,,,,,,,,
E41590,E52587,65024637,-1180.46,,,,,,,,,,
E41590,E52587,65024638,-158.4,,,,,,,,,,
E41590,E52587,20209224,-235.71,,,,,,,,,,
E41590,E52587,20209228,-392.22,,,,,,,,,,
E41590,E52587,20209476,-867.43,,,,,,,,,,
E41590,E52587,21000767,-857.06,,,,,,,,,,
E41590,E52587,21000771,-1095.99,,,,,,,,,,
E41590,E52587,65024757,-25.92,,,,,,,,,,
E41590,E52587,21026412,31204.26,,,,,,,,,,
E41590,E52587,21018169,89271.41,,,,,,,,,,
E41590,E52587,21018170,59430,,,,,,,,,,
E41590,E52587,21038550,232503.87,,,,,,,,,,
E41590,E52587,21039110,104478.18,,,,,,,,,,
E41590,E52587,21039111,99003.72,,,,,,,,,,
E41590,E52587,21039792,6742.5,,,,,,,,,,
E41590,E52587,21054827,501337.13,,,,,,,,,,
E41590,E52587,21018171,109199.98,,,,,,,,,,
E41590,E52587,21018172,131819.43,,,,,,,,,,
E41590,E52587,21039113,110798,,,,,,,,,,
E41590,E52587,21039115,13485,,,,,,,,,,
E41590,E52587,21041422,221601.35,,,,,,,,,,
E41590,E52587,21054829,508649.68,,,,,,,,,,
E41590,E52587,20277838,127238.64,,,,,,,,,,
E41590,E52587,20278034,128095.77,,,,,,,,,,
E41590,E52587,20277836,-451.86,,,,,,,,,,
E41590,E52587,21137551,41850,,,,,,,,,,
E41590,E52587,21137489,32732.18,,,,,,,,,,
E41590,E52587,62050146,-51.35,,,,,,,,,,
E41590,E52587,62050145,-6172.56,,,,,,,,,,
E41590,E52587,20302747,-68.94,,,,,,,,,,
E41590,E52587,65024857,49242.6,,,,,,,,,,
E41590,E52587,20302757,-34.47,,,,,,,,,,
E41590,E52587,65038308,78753.69,,,,,,,,,,
E41590,E52587,65038272,-53.04,,,,,,,,,,
E41590,E52587,65024889,-106.07,,,,,,,,,,
E41590,E52587,20229790,896117.79,,,,,,,,,,
E41590,E52587,20100107,-5792.5,,,,,,,,,,
E41590,E52587,20100109,-480.97,,,,,,,,,,
E41590,E52587,20229792,1120272.06,,,,,,,,,,
E41590,E52587,21079585,237160.66,,,,,,,,,,
E41590,E52587,21010304,1017270,,,,,,,,,,
E41590,E52587,20234480,52019.34,,,,,,,,,,
E41590,E52587,21063286,336456.65,,,,,,,,,,
E41590,E52587,21093200,120120,,,,,,,,,,
E41590,E52587,65024816,-1290.56,,,,,,,,,,
E41590,E52587,65021710,-187.65,,,,,,,,,,
E41590,E52587,65021713,-485.21,,,,,,,,,,
E41590,E52587,65023435,-385.32,,,,,,,,,,
E41590,E52587,65037071,206789.76,,,,,,,,,,
E41590,E52587,65037077,200843.55,,,,,,,,,,
E41590,E52587,65037089,222499,,,,,,,,,,
E41590,E52587,65021711,-653.81,,,,,,,,,,
E41590,E52587,65021714,-109.62,,,,,,,,,,
E41590,E52587,65037072,230413.62,,,,,,,,,,
E41590,E52587,65037078,188539.29,,,,,,,,,,
E41590,E52587,65037090,-57.69,,,,,,,,,,
E41590,E52587,65037076,-74.79,,,,,,,,,,
E41590,E52587,20277449,196669.11,,,,,,,,,,
E41590,E52587,21069275,412620.72,,,,,,,,,,
E41590,E52587,65021322,-1818.21,,,,,,,,,,
E41590,E52587,20293277,204525.3,,,,,,,,,,
E41590,E52587,20293279,230333.47,,,,,,,,,,
E41590,E52587,65023855,-226.41,,,,,,,,,,
E41590,E52587,20293278,185400.32,,,,,,,,,,
E41590,E52587,20293280,147394.9,,,,,,,,,,
E41590,E52587,65023648,-324.26,,,,,,,,,,
E41590,E52587,65023854,-184.14,,,,,,,,,,
E41590,E52587,20228246,230199.21,,,,,,,,,,
E41590,E52587,20228256,125333.87,,,,,,,,,,
E41590,E52587,20284832,31764.36,,,,,,,,,,
E41590,E52587,65001109,-36.27,,,,,,,,,,
E41590,E52587,65021258,-71.64,,,,,,,,,,
E41590,E52587,65021262,-660.18,,,,,,,,,,
E41590,E52587,20091933,-87.66,,,,,,,,,,
E41590,E52587,20226140,371467.09,,,,,,,,,,
E41590,E52587,20228257,235802.99,,,,,,,,,,
E41590,E52587,20102800,-142.12,,,,,,,,,,
E41590,E52587,20102802,-211.47,,,,,,,,,,
E41590,E52587,21013982,20301.48,,,,,,,,,,
E41590,E52587,21013983,209781.96,,,,,,,,,,
E41590,E52587,21013987,84022.75,,,,,,,,,,
E41590,E52587,21013989,89664.87,,,,,,,,,,
E41590,E52587,65021265,-142.12,,,,,,,,,,
E41590,E52587,65021273,-351.89,,,,,,,,,,
E41590,E7601,65003236,1405.72,,,,,,,,,,
E41590,E7601,65002849,146442.76,,,,,,,,,,
E41590,E7601,65003238,1731.43,,,,,,,,,,
E41590,E7601,21025556,77303.73,,,,,,,,,,
E41590,E7601,21141195,16714.32,,,,,,,,,,
E41590,E7601,21141222,16714.32,,,,,,,,,,
E41590,E7601,21141274,16714.32,,,,,,,,,,
E41590,E7601,65002864,87662.43,,,,,,,,,,
E41590,E7601,65002865,121178.82,,,,,,,,,,
E41590,E7601,21008979,79286.58,,,,,,,,,,
E41590,E7601,21009048,33433.76,,,,,,,,,,
E41590,E7601,21040653,-74.07,,,,,,,,,,
E41590,E7601,21030915,47172.78,,,,,,,,,,
E41590,E7601,65003263,58312.48,,,,,,,,,,
E41590,E7601,21045983,61259,,,,,,,,,,
E41590,E7601,65003271,21902.32,,,,,,,,,,
E41590,E7601,21000765,197920.35,,,,,,,,,,
E41590,E7601,21000769,65999.85,,,,,,,,,,
E41590,E7601,21000773,81006.33,,,,,,,,,,
E41590,E7601,21148865,18857.1,,,,,,,,,,
E41590,E7601,65024639,-79.2,,,,,,,,,,
E41590,E7601,20209476,-156.51,,,,,,,,,,
E41590,E7601,21026412,185491.99,,,,,,,,,,
E41590,E7601,21018169,173788.71,,,,,,,,,,
E41590,E7601,21018170,126891.4,,,,,,,,,,
E41590,E7601,21038550,140819.94,,,,,,,,,,
E41590,E7601,21039110,23588.56,,,,,,,,,,
E41590,E7601,21054827,613253.2,,,,,,,,,,
E41590,E7601,21018171,149768.54,,,,,,,,,,
E41590,E7601,21018172,70765.68,,,,,,,,,,
E41590,E7601,21039113,37073.56,,,,,,,,,,
E41590,E7601,21041422,126788.51,,,,,,,,,,
E41590,E7601,21054829,635002.68,,,,,,,,,,
E41590,E7601,20277838,41565,,,,,,,,,,
E41590,E7601,20278034,40966.04,,,,,,,,,,
E41590,E7601,21137551,16740,,,,,,,,,,
E41590,E7601,21137489,12589.3,,,,,,,,,,
E41590,E7601,20302747,-34.47,,,,,,,,,,
E41590,E7601,65024857,11489.94,,,,,,,,,,
E41590,E7601,65038308,18055.62,,,,,,,,,,
E41590,E7601,20229790,605383.79,,,,,,,,,,
E41590,E7601,20100109,-480.97,,,,,,,,,,
E41590,E7601,20229792,823821.24,,,,,,,,,,
E41590,E7601,21079585,137303.54,,,,,,,,,,
E41590,E7601,21010304,790320,,,,,,,,,,
E41590,E7601,20234480,14027.16,,,,,,,,,,
E41590,E7601,21063286,143486.22,,,,,,,,,,
E41590,E7601,21093200,38220,,,,,,,,,,
E41590,E7601,62050125,-682.66,,,,,,,,,,
