sap_code,sap_desc,pack_size,barcode,case_code,price_case,price_case_tax,price,srp
65004473,LADY'S CHOICE SNDWCH SPRD CHCKN 72X80ML,72,4808680022017,14808680022014,1755.00,1965.60,27.30,30.00
65004329,LADY'S CHOICE SNDWCH SPRD CHCKN24X220ML,24,4808680022031,14808680022038,1883.57,2109.60,87.90,95.00
65004556,LADY'S CHOICESNDWCHSPRDCHCKNDOY24X220ML,24,4800888602275,24800888602279,1687.50,1890.00,78.75,85.00
65004330,LADY'S CHOICE SNDWCH SPRD CHCKN12X470ML,12,4808680022109,14808680022106,1942.50,2175.60,181.30,196.00
65004726,LADY'S CHOICE SNDWCH SPRD HAM 6X12X15ML,72,4808680652894,14808680652891,411.43,460.80,6.40,7.00
65004474,LADY'S CHOICE SNDWCH SPRD HAM 72X80ML,72,4808680651019,14808680651016,1755.00,1965.60,27.30,30.00
65004331,LADY'S CHOICE SNDWCH SPRD HAM 24X220ML,24,4808680022178,14808680022175,1883.57,2109.60,87.90,95.00
65004557,LADY'S CHOICE SNDWCH SPRDHAMDOY24X220ML,24,4800888602282,24800888602286,1687.50,1890.00,78.75,85.00
65004332,LADY'S CHOICE SNDWCH SPRD HAM 12X470ML,12,4808680022208,14808680022205,1942.50,2175.60,181.30,196.00
65004793,LADY'S CHOICE SNDWCH SPRD TUNA12X6X15ML,72,4808680655123,14808680655120,411.43,460.80,6.40,7.00
65004476,LADY'S CHOICE SNDWCH SPRD TUNA 72X80ML,72,4808680651026,14808680651023,1755.00,1965.60,27.30,30.00
65004333,LADY'S CHOICE SNDWCH SPRD TUNA 24X220ML,24,4808680022277,14808680022274,1883.57,2109.60,87.90,95.00
65004335,LADY'S CHOICE SNDWCH SPRD TUNA 12X470ML,12,4808680022307,14808680022304,1942.50,2175.60,181.30,196.00
65004773,LADY'S CHOICE RGLR SLDCAESRDRSNG24X236ML,24,4808680021997,14808680021994,1917.86,2148.00,89.50,99.50
65004772,LADY'S CHOICE THSND ISLND DRSNG 24X236ML,24,4808680030760,14808680030767,1917.86,2148.00,89.50,99.50
