area_code,customer_code,child_sku_code,gsv
E41590,E50866,20094079,349.937
E41590,E50866,20094740,-0.17
E41590,E50866,20209228,-0.042
E41590,E50866,20226140,11094
E41590,E50866,20228246,2499.084
E41590,E50866,20228256,946
E41590,E50866,20228257,2500
E41590,E50866,20229790,73.668
E41590,E50866,20229792,2176.667
E41590,E50866,20234480,-1.918
E41590,E50866,20248034,816.889
E41590,E50866,20249673,867.917
E41590,E50866,20270172,1147.916
E41590,E50866,20270174,1757
E41590,E50866,20272347,-0.375
E41590,E50866,20272688,3765
E41590,E50866,20272690,647.75
E41590,E50866,20272692,1316
E41590,E50866,20277449,285.958
E41590,E50866,20277838,149.792
E41590,E50866,20278034,411.61
E41590,E50866,20282697,621.819
E41590,E50866,20282699,524
E41590,E50866,20282702,894.5
E41590,E50866,20282705,965.417
E41590,E50866,20282707,742.667
E41590,E50866,20282710,948.806
E41590,E50866,20284832,2731
E41590,E50866,20284833,1406
E41590,E50866,20288006,237.5
E41590,E50866,20292810,167.958
E41590,E50866,20292816,268.958
E41590,E50866,20293278,1047.958
E41590,E50866,20293279,1279.916
E41590,E50866,20293280,837.417
E41590,E50866,20294810,395.501
E41590,E50866,20294813,885.75
E41590,E50866,20294814,1824.5
E41590,E50866,20302757,-0.334
E41590,E50866,21000763,99
E41590,E50866,21000765,5713.708
E41590,E50866,21000767,41.976
E41590,E50866,21000769,1407.666
E41590,E50866,21000771,27
E41590,E50866,21000773,991.583
E41590,E50866,21008977,40
E41590,E50866,21008979,2250
E41590,E50866,21009048,353
E41590,E50866,21010304,4273.751
E41590,E50866,21012580,124
E41590,E50866,21013579,1403.958
E41590,E50866,21013982,1501.791
E41590,E50866,21013983,6127.584
E41590,E50866,21013984,8232.167
E41590,E50866,21013987,911.708
E41590,E50866,21013989,553.792
E41590,E50866,21014046,6988
E41590,E50866,21018172,305.833
E41590,E50866,21018836,1672.917
E41590,E50866,21021063,1769.708
E41590,E50866,21021066,2478.875
E41590,E50866,21024222,142
E41590,E50866,21025556,332
E41590,E50866,21030915,1042
E41590,E50866,21038550,171
E41590,E50866,21039110,788
E41590,E50866,21039111,453.917
E41590,E50866,21039113,1066
E41590,E50866,21039114,152
E41590,E50866,21039115,352
E41590,E50866,21039792,159
E41590,E50866,21041422,52.833
E41590,E50866,21041821,873
E41590,E50866,21045983,1812.875
E41590,E50866,21054827,3137
E41590,E50866,21054829,3202
E41590,E50866,21056565,1829.5
E41590,E50866,21058471,2325.667
E41590,E50866,21063284,662.837
E41590,E50866,21063286,40.417
E41590,E50866,21069275,1173.832
E41590,E50866,21069495,1665
E41590,E50866,21073123,385.944
E41590,E50866,21075083,5339.777
E41590,E50866,21079585,1739.5
E41590,E50866,21093200,884
E41590,E50866,21114351,237
E41590,E50866,21117241,325
E41590,E50866,21130329,26.5
E41590,E50866,21137489,440
E41590,E50866,21137516,1040
E41590,E50866,21137551,1150
E41590,E50866,21139147,264
E41590,E50866,21140982,737
E41590,E50866,21141195,679
E41590,E50866,21141222,722
E41590,E50866,21141274,432
E41590,E50866,21141321,288
E41590,E50866,21148865,187
E41590,E50866,21150627,960
E41590,E50866,62072034,4203.917
E41590,E50866,65002405,-0.042
E41590,E50866,65002849,1374
E41590,E50866,65002862,-0.042
E41590,E50866,65002864,549
E41590,E50866,65002865,600.958
E41590,E50866,65003236,51.833
E41590,E50866,65003238,51.833
E41590,E50866,65003263,586.875
E41590,E50866,65003271,148.958
E41590,E50866,65003451,522.952
E41590,E50866,65004174,1819
E41590,E50866,65004201,-1
E41590,E50866,65021273,-0.708
E41590,E50866,65021711,-0.014
E41590,E50866,65024638,-0.042
E41590,E50866,65024639,-0.125
E41590,E50866,65024857,1152
E41590,E50866,65024865,1012.75
E41590,E50866,65024878,105
E41590,E50866,65024966,339.416
E41590,E50866,65024969,442.875
E41590,E50866,65028987,-0.007
E41590,E50866,65037070,416.937
E41590,E50866,65037088,546
E41590,E50866,65038304,93.958
E41590,E50866,65038308,3047.584
E41590,E50866,65038309,860.916
E41590,E50866,65039761,5
E41590,E50866,65039762,4
E41590,E50866,65039764,6
E41590,E52587,20070517,-0.147
E41590,E52587,20070518,-0.084
E41590,E52587,20091933,-0.042
E41590,E52587,20094079,34.022
E41590,E52587,20100107,-1.083
E41590,E52587,20100109,-2.083
E41590,E52587,20102800,-0.168
E41590,E52587,20103992,-0.021
E41590,E52587,20209224,-0.208
E41590,E52587,20209228,-0.375
E41590,E52587,20209476,-0.418
E41590,E52587,20226140,387.958
E41590,E52587,20228246,273.958
E41590,E52587,20228256,121
E41590,E52587,20228257,223.958
E41590,E52587,20229790,-17.666
E41590,E52587,20229792,158
E41590,E52587,20234480,-7.418
E41590,E52587,20237416,-0.042
E41590,E52587,20248034,60.889
E41590,E52587,20249673,66
E41590,E52587,20269563,-0.042
E41590,E52587,20270172,128.875
E41590,E52587,20272347,282.958
E41590,E52587,20277449,55.043
E41590,E52587,20277838,46.29
E41590,E52587,20278034,47.834
E41590,E52587,20284832,42
E41590,E52587,20284833,66
E41590,E52587,20288006,34.334
E41590,E52587,20293277,68.917
E41590,E52587,20293278,87
E41590,E52587,20293279,68.791
E41590,E52587,20293280,71.833
E41590,E52587,20294810,49
E41590,E52587,20294813,77
E41590,E52587,20294814,121.667
E41590,E52587,20302747,-0.334
E41590,E52587,20302757,-0.084
E41590,E52587,20302759,-0.5
E41590,E52587,20303257,-0.083
E41590,E52587,21000765,267
E41590,E52587,21000769,156
E41590,E52587,21000773,144
E41590,E52587,21008979,170.875
E41590,E52587,21009048,112.084
E41590,E52587,21010304,319
E41590,E52587,21013983,352
E41590,E52587,21013984,213
E41590,E52587,21013987,53.582
E41590,E52587,21013989,60
E41590,E52587,21015691,75.958
E41590,E52587,21018172,27
E41590,E52587,21018836,166.75
E41590,E52587,21021063,196
E41590,E52587,21021066,159
E41590,E52587,21024222,31.972
E41590,E52587,21025556,40.958
E41590,E52587,21026412,199
E41590,E52587,21030915,57
E41590,E52587,21038550,55
E41590,E52587,21039110,171
E41590,E52587,21039111,154
E41590,E52587,21039113,175
E41590,E52587,21039114,139
E41590,E52587,21039115,224
E41590,E52587,21039792,216
E41590,E52587,21041422,29.917
E41590,E52587,21045983,52.875
E41590,E52587,21054827,328
E41590,E52587,21054829,288
E41590,E52587,21056565,110
E41590,E52587,21058471,199
E41590,E52587,21063286,73.917
E41590,E52587,21069275,79.958
E41590,E52587,21069495,59
E41590,E52587,21073123,61
E41590,E52587,21075083,211.944
E41590,E52587,21079585,160
E41590,E52587,21093200,93
E41590,E52587,21114351,67
E41590,E52587,21117241,92
E41590,E52587,21137489,40
E41590,E52587,21137551,70
E41590,E52587,21140982,53
E41590,E52587,21141195,53
E41590,E52587,21141222,54
E41590,E52587,21141274,41
E41590,E52587,21148264,55
E41590,E52587,21148865,34
E41590,E52587,21149004,79
E41590,E52587,21150627,125
E41590,E52587,62072034,292.584
E41590,E52587,65001109,-0.042
E41590,E52587,65001488,-0.042
E41590,E52587,65001494,-1.915
E41590,E52587,65002017,-0.667
E41590,E52587,65002377,-0.042
E41590,E52587,65002405,158.916
E41590,E52587,65002849,123
E41590,E52587,65002864,61
E41590,E52587,65002865,67.958
E41590,E52587,65003263,45
E41590,E52587,65003271,7.75
E41590,E52587,65021262,-0.084
E41590,E52587,65021285,-0.021
E41590,E52587,65021322,-0.042
E41590,E52587,65021394,-1.083
E41590,E52587,65021710,-0.056
E41590,E52587,65021711,-0.375
E41590,E52587,65021713,-0.181
