"DEAL ID","IONUMBER","START DATE","END DATE","DEAL DESCRIPTION","DEAL AMOUNT","SALES ORG","DISTRIBUTOR ID","ALLOCATED BUDGET"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","50236264","0"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","50200808","0"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","50208214","0"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","50236695","0"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","50200296","0"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","50208236","0"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","50200861","0"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","15265852","6655"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","15132522","1331"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","50200430","0"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","50269829","0"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","50269897","0"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","15142049","0"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","50236293","5324"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","50266117","0"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","15181887","0"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","15198227","0"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","50236885","0"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","50200414","0"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","50200803","0"
"B1609PCSK2","","22.09.2016","22.09.2016","INDIVIDUAL 11+11 CREAM SILK RO BRILLIANT BLACK 288X11ML + ","19965","P001","15127576","0"
